,call_failure,total_seconds_calls,total_number_calls,total_number_sms,distinct_call_numbers,customer_value,complains,subs_length,charge_amount,tariff_plan,status,age,Churn
0,8.0,4370.0,71.0,5.0,17.0,197.64,0,38,0,1,1,30,0
1,0.0,318.0,5.0,7.0,4.0,46.035,0,39,0,1,2,25,0
2,10.0,2453.0,60.0,73.17492063492064,24.0,1536.52,0,37,0,1,1,30,0
3,10.0,4198.0,66.0,1.0,35.0,240.02,0,38,0,1,1,15,0
4,3.0,2393.0,58.0,2.0,33.0,145.805,0,38,0,1,1,15,0
5,11.0,3775.0,82.0,32.0,28.0,282.28,0,38,1,1,1,30,0
6,4.0,2360.0,39.0,73.17492063492064,18.0,1235.96,0,38,0,1,1,30,0
7,13.0,9115.0,121.0,144.0,43.0,945.44,0,37,2,1,1,30,0
8,7.0,13773.0,169.0,0.0,44.0,557.68,0,38,0,1,1,30,0
9,7.0,4515.0,83.0,2.0,25.0,191.92,0,38,1,1,1,30,0
10,6.0,5918.0,95.0,7.0,12.0,268.52,0,38,0,1,1,30,0
11,9.0,2238.0,54.0,8.0,17.0,123.68,0,38,0,1,2,30,0
12,25.0,4472.459682539683,69.46063492063492,54.0,32.0,830.6,0,38,3,1,1,30,0
13,4.0,3095.0,27.0,73.17492063492064,8.0,470.9729158730159,0,38,1,1,1,30,0
14,9.0,4472.459682539683,182.0,150.0,30.0,1380.015,0,37,0,1,1,25,0
15,3.0,6500.0,86.0,186.0,26.0,1007.44,0,37,1,1,1,30,0
16,0.0,875.0,14.0,0.0,11.0,40.005,0,37,0,1,2,25,1
17,2.0,710.0,14.0,13.0,8.0,80.96,0,38,0,1,2,30,0
18,0.0,0.0,0.0,0.0,0.0,0.0,0,37,0,1,2,25,1
19,3.0,7508.0,127.0,73.17492063492064,43.0,470.9729158730159,0,37,0,1,1,25,0
20,7.0,11465.0,154.0,11.0,47.0,317.975,0,37,1,1,1,45,0
21,8.0,6718.0,75.0,108.0,37.0,791.685,0,37,1,1,1,25,0
22,23.0,955.0,47.0,16.0,17.0,117.09,1,33,0,1,2,25,1
23,21.0,10435.0,93.0,1.0,42.0,159.42,1,36,8,2,1,55,0
24,13.0,5818.0,98.0,26.0,24.0,383.22,1,36,1,1,1,25,1
25,1.0,2840.0,22.0,0.0,14.0,114.48,0,34,0,1,1,30,0
26,9.0,2990.0,41.0,9.0,16.0,157.24,0,35,0,1,2,30,1
27,9.0,2268.0,44.0,34.0,31.0,228.48,1,36,0,1,2,30,1
28,0.0,133.0,2.0,0.0,2.0,5.4,0,36,0,1,2,30,1
29,1.0,1668.0,25.0,0.0,6.0,67.72,0,36,0,1,1,30,0
30,3.0,6785.0,97.0,14.0,22.0,124.23,0,33,1,1,1,55,0
31,0.0,628.0,7.0,9.0,4.0,38.375,1,36,0,1,2,45,1
32,0.0,338.0,4.0,4.0,2.0,11.13,0,36,1,1,1,55,0
33,25.0,4472.459682539683,69.46063492063492,0.0,23.50984126984127,734.085,0,31,3,2,1,25,0
34,6.0,6965.0,116.0,73.17492063492064,33.0,1538.145,0,34,3,2,1,25,0
35,2.0,3718.0,82.0,2.0,28.0,180.0,0,36,0,1,1,25,0
36,3.0,1665.0,44.0,38.0,20.0,220.36,0,35,0,1,2,30,0
37,6.0,2780.0,53.0,175.0,23.0,914.985,0,36,0,1,1,25,0
38,4.0,1315.0,36.0,193.0,11.0,929.295,0,27,1,2,1,25,0
39,4.0,1568.0,39.0,30.0,68.0,115.175,0,26,0,1,1,45,0
40,11.0,700.0,25.0,10.0,7.0,77.625,0,27,0,1,2,25,0
41,0.0,825.0,10.0,21.0,3.0,73.375,0,26,0,1,2,45,1
42,10.0,1225.0,32.0,19.0,13.0,142.065,0,25,0,1,1,25,0
43,2.0,3225.0,61.0,8.0,23.0,163.44,0,25,0,1,1,30,0
44,2.0,1695.0,26.0,28.0,14.0,203.445,0,18,0,1,1,25,0
45,16.0,6393.0,141.0,85.0,42.0,676.53,0,17,1,2,1,25,0
46,12.0,8933.0,171.0,73.0,40.0,410.1,0,15,0,1,1,45,0
47,8.0,2853.0,45.0,31.0,19.0,239.92,0,16,3,2,1,30,0
48,2.0,4390.0,40.0,73.17492063492064,10.0,1037.2,0,9,1,1,1,30,0
49,3.0,1488.0,19.0,0.0,7.0,60.28,0,9,1,1,1,30,1
50,11.0,4430.0,74.0,10.0,19.0,220.16,0,40,1,1,1,30,0
51,3.0,378.0,8.0,12.0,6.0,63.44,0,41,1,1,1,30,0
